dsample,RMSE_LOO,MAE_LOO,R2_LOO,RMSE_surf,MAE_surf,R2_surf,RMSE_bLOO_out,MAE_bLOO_out,R2_bLOO_out,RMSE_bLOO_res,MAE_bLOO_res,R2_bLOO_res,RMSE_NDM_out,MAE_NDM_out,R2_NDM_out,RMSE_NDM_res,MAE_NDM_res,R2_NDM_res,outrange,resrange
sregular,0.09372016323203215,0.07396532775767195,0.87210598622862745,0.08147136564919896,0.0618286637643275,0.9067547294917812,0.16592053164197493,0.13809161666283237,0.502739335434802,0.14579822763780206,0.11910662118997425,0.6349341094433172,0.09245976520309317,0.07440147672533043,0.8795800878003232,0.0922710813086821,0.07331822141731256,0.879021028483131,194802.13397740305,122870.0835289852
wregular,0.08848392648082859,0.06464060643828465,0.8475997325198918,0.10424099781141732,0.07589274329106993,0.8142978629066063,0.18030992427396428,0.1514521244044136,0.36454190977456524,0.1057130732231704,0.0826527776656697,0.782492580877949,0.09119461615311891,0.06682719857774357,0.8392212978817188,0.09100994180129289,0.06806188580463104,0.8380686344704852,278580.7965323473,77725.89396499256
random,0.09797979027063505,0.07417268625263203,0.8259816935165383,0.09594223618091326,0.07223860870548607,0.8585022809502922,0.13674332973044181,0.10783572994942234,0.6584052019606178,0.1393481239502413,0.11174245662117767,0.6472701092906147,0.1029976471069063,0.0763682023635336,0.8083785597682394,0.10081651351050484,0.07435011528940016,0.8182447958740925,140103.71401088723,151776.79349322597
wclust,0.09035525608042495,0.06128632700737372,0.8794225600516491,0.0997651625092696,0.07632236991671562,0.8477379214667228,0.16376086665102207,0.12345048079112875,0.527168810230738,0.16655146832405193,0.12571511796055343,0.5043605872195793,0.1296667430688813,0.09062116419703234,0.7144086499655841,0.13280036369321785,0.08997106784248628,0.69460230655665,161364.0598451934,167806.28273059844
sclust,0.061007995056061415,0.041554655386433006,0.8839480451021473,0.156393565495946,0.12195515373516666,0.6866295593705869,0.1372422705652094,0.11044888422849278,0.37531069783362436,0.12270528684904478,0.09484417692507306,0.5020962325439191,0.11720412012591151,0.08364350122643013,0.5424059159291147,0.11202245224319053,0.0785124451509118,0.5825994793996382,162802.2283645406,81734.84777419227
sregular,0.09473767710667354,0.0687512737125352,0.8464208593749666,0.08766681659096402,0.0670708400714882,0.8925121241821569,0.17521852103134014,0.133073506714415,0.3725698222401261,0.11183996915722642,0.08318096429748283,0.7701995689659987,0.10089661484869528,0.07193606291174823,0.8200591153892383,0.09984094119126909,0.07168825671468668,0.8250560561770295,248309.5583369898,73721.14967405952
wregular,0.0861969538156017,0.06563846457488275,0.8672038594337832,0.10377250271300131,0.07889450386294139,0.8265053675179317,0.14831072322970054,0.1119191173579358,0.5398553458182629,0.14469680399716767,0.10592807548583742,0.565428247582934,0.09249479734144068,0.06862703754094128,0.8461601414231807,0.09369924887042441,0.07070434177623956,0.8438628038108754,191830.2287791409,143087.73107439894
random,0.09586821079211852,0.07049412824274351,0.8107420171567935,0.09293830496952873,0.07176901862603578,0.903055175324583,0.15239269782773984,0.12137363107815075,0.417135064665365,0.12305185964296475,0.09590846110748127,0.6508022799768612,0.09841705012864856,0.07235506257031733,0.7990281738525578,0.10240379150009858,0.07433936046293936,0.7755549355348974,220298.63253444305,107953.88867637479
wclust,0.07411237058394858,0.059083058703785475,0.9003218921173972,0.11893797698336121,0.08814377077730833,0.7480489455414907,0.2049336525741611,0.16732671567939533,0.1410030645297959,0.1971427006077542,0.16065468500925692,0.1984735756282028,0.1015092953713706,0.07336244984289943,0.8243859190113882,0.10454356358560397,0.07440536308273674,0.8128328202311974,452424.3492743549,277343.88669233245
sclust,0.06086569978252131,0.04588707056534167,0.9377326261289852,0.1286562490233284,0.0938610782133582,0.8020835968189057,0.2442892534159015,0.20731521740822745,0.05074807269117579,0.20274122786633664,0.16300630807587876,0.10801750111761865,0.13061526990235242,0.09069070478653535,0.6058867825367555,0.1285284448448193,0.09144769190552333,0.6195814442637343,305785.6632370082,161243.95768453943
